#Country,Area (mi2),Population,% Growth
Afghanistan,249347,25500100,2.03
Albania,11082,2821977,-0.25
Algeria,919595,38700000,1.21
American Samoa,76,55519,1.26
Andorra,179,76246,2.26
Angola,481354,20609294,2.9
Anguilla,37,13452,2.9
Argentina,1073518,40117096,1.08
Aruba,75,101484,1.6
Australia,2973939,23313922,1.24
Austria,32386,8464554,0.07
Azerbaijan,33436,9477100,1.06
Bahamas,5382,351461,0.86
Bahrain,292,1234571,5.2
Bangladesh,55598,142325250,1.61
Barbados,166,274200,0.42
Belarus,80155,9459800,-0.4
Belgium,11787,11132269,0.11
Benin,43484,10323000,3.09
Bermuda,20,64237,0.6
Bhutan,14824,744948,1.34
Bolivia,424164,10389913,1.86
Bosnia and Herzegovina,19772,3839737,0.85
Botswana,224607,2024904,1.97
Brazil,3287612,201032714,1.25
Brunei,2226,393162,1.82
Bulgaria,42858,7282041,-0.82
Burkina Faso,104543,17322796,3.16
Burma,261228,53259000,1.1
Burundi,10740,10163000,3.86
Cambodia,69898,13395682,1.68
Cameroon,179943,20386799,2.25
Canada,3855103,35478330,0.83
Cape Verde,1557,491875,1.56
Cayman Islands,100,55456,2.59
Central African Republic,240324,4616000,2.12
Chad,495755,11274106,2.32
Chile,291930,16634603,0.92
China,3722342,1363220448,0.49
Colombia,440831,47489000,1.28
Comoros,719,724300,2.53
Cook Islands,92,14974,-4.71
Costa Rica,19730,4667096,1.42
Croatia,21831,4290612,-0.04
Cuba,42427,11163934,-0.18
Curacao,171,150563,1.01
Cyprus,2276,862000,1.76
Czech Republic,30451,10512800,-0.08
Democratic Republic of the Congo,905446,67514000,2.85
Denmark,16640,5605836,0.31
Dominica,285,71293,0.28
Dominican Republic,18485,9445281,1.4
Ecuador,98686,15694300,1.6
Egypt,387048,86087739,2.1
El Salvador,8124,6340000,0.32
Equatorial Guinea,10831,1622000,2.8
Eritrea,46757,6333000,2.7
Estonia,16769,1311870,-0.64
Ethiopia,410678,86613986,3.26
Falkland Islands,4700,2563,0.41
Faroe Islands,540,48244,-0.19
Federated States of Micronesia,271,101351,0.92
Fiji,7078,858038,0.12
Finland,117334,5449657,0.58
France,210026,63929000,1.15
French Polynesia,1359,268270,2.05
Gabon,103347,1672000,2.54
Gambia,4127,1849000,3.51
Georgia,26911,4483800,-0.33
Germany,137886,80619000,-0.19
Ghana,92098,24658823,1.98
Gibraltar,3,29752,0.7
Greece,50949,10815197,0.15
Greenland,836297,56370,0
Grenada,133,103328,0.57
Guam,209,159358,1.38
Guatemala,42042,15438384,2.15
Guernsey,30,62431,0.63
Guinea,94926,10824200,2.43
Guinea-Bissau,13948,1520830,2.05
Guyana,83012,784894,-0.73
Haiti,10450,10413211,0.95
Honduras,43277,8385072,2.12
Hong Kong,425,7173900,0.55
Hungary,35919,9906000,-0.13
Iceland,39691,323810,0.8
India,1269211,1241311679,1.46
Indonesia,737815,237641326,1.2
Iran,636372,77347000,1.25
Iraq,167618,33330000,2.62
Ireland,27133,4585400,1.94
Israel,8522,8159778,1.75
Italy,116336,59943933,0.57
Ivory Coast,124680,23202000,2.16
Jamaica,4244,2711476,0.79
Japan,145914,127180000,-0.02
Jersey,45,97857,1.11
Jordan,34277,6554600,4.08
Kazakhstan,1052090,17010000,1.17
Kenya,224647,38610097,2.99
Kiribati,280,106461,1.26
Kuwait,6880,3582054,2.41
Kyrgyzstan,77199,5551900,1.37
Laos,91429,6580800,1.76
Latvia,24928,2005200,-0.64
Lebanon,4036,4822000,1.17
Lesotho,11720,2074000,-0.02
Liberia,37466,3476608,4.69
Libya,683424,6202000,2.26
Liechtenstein,62,36842,0.57
Lithuania,25212,2944459,-0.29
Luxembourg,998,537000,1.21
Macau,11,582000,3.68
Macedonia,9928,2062294,0.26
Madagascar,226658,20696070,3.05
Malawi,45747,14388600,2.74
Malaysia,127724,30108000,1.72
Maldives,115,317280,3.34
Mali,482077,14528662,2.6
Malta,122,416055,0.4
Marshall Islands,70,56086,2.27
Mauritania,397955,3461041,2.46
Mauritius,788,1257900,0.81
Mayotte,144,212600,2.06
Mexico,759516,118395054,1.15
Moldova,13067,3559500,-1.12
Monaco,1,36136,0
Mongolia,603902,2754685,1.5
Montenegro,5333,620029,-0.93
Montserrat,39,4922,0
Morocco,170773,33194400,1.13
Mozambique,308642,23700715,2.24
Namibia,318580,2113077,0.97
Nauru,8,9945,-2.09
Nepal,56827,26494504,1.34
Netherlands,16033,16828615,0.34
New Caledonia,7172,258958,1.67
New Zealand,104454,4498083,0.99
Nicaragua,46884,6071045,1.25
Niger,458075,17129076,3.78
Nigeria,356669,173615000,2.64
North Korea,47399,24052231,0.59
Northern Mariana Islands,176,53883,-7.53
Norway,125013,5063709,0.36
Oman,119499,3831553,1.93
Pakistan,310403,185850240,1.73
Palau,188,20901,0.98
Panama,28640,3405813,1.57
Papua New Guinea,178704,7398500,2.2
Paraguay,157048,6672631,1.47
Peru,496225,30475144,1.07
Philippines,115831,99240810,2.01
Poland,120728,38502396,-0.05
Portugal,35556,10562178,0.32
Puerto Rico,3424,3667084,0.35
Qatar,4468,2024707,12.06
Republic of the Congo,132047,4448000,2.74
Romania,92043,20121641,-0.22
Russia,6592849,143600000,-0.48
Rwanda,9774,10537222,2.84
Saint Barthelemy,8,8938,-2.64
Saint Kitts and Nevis,104,51970,0.82
Saint Lucia,238,166526,0.5
Saint Martin,21,36979,1.39
Saint Pierre and Miquelon,93,6081,0
Samoa,1093,187820,0.85
San Marino,24,32382,0.66
Sao Tome and Principe,386,187356,2.18
Saudi Arabia,830000,29994272,1.71
Senegal,75955,13567338,2.67
Serbia,29913,7241295,-0.42
Seychelles,176,90945,0.93
Sierra Leone,27699,6092000,2.19
Singapore,276,5399200,2.22
Sint Maarten,13,37429,2.25
Slovakia,18933,5410728,0.14
Slovenia,7827,2062285,-0.08
Solomon Islands,10954,515870,2.42
Somalia,246201,9331000,2.13
South Africa,471359,52981991,0.68
South Korea,38402,50219669,0.26
Spain,194512,46609700,1.25
Sri Lanka,25332,20277597,0.96
Sudan,710251,30894000,2.75
Suriname,63251,534189,1.61
Swaziland,6704,1250000,1.47
Sweden,158423,9644864,0.16
Switzerland,15940,8112200,0.36
Syria,71498,21377000,3.64
Taiwan,13973,23377515,0.28
Tajikistan,55251,8160000,1.9
Tanzania,341217,44928923,2.09
Thailand,198117,65926261,0.65
Timor-Leste,5760,1066409,2.08
Togo,21853,6191155,2.88
Tonga,278,104270,0.58
Trinidad and Tobago,1990,1328019,-0.13
Tunisia,63170,10777500,1
Turkey,302535,76667864,1.37
Turkmenistan,189657,5240000,1.16
Turks and Caicos Islands,192,31458,8.96
Tuvalu,10,11323,0
Uganda,93263,34131400,3.44
Ukraine,233062,45426200,-0.67
United Arab Emirates,32278,8264070,4.01
United Kingdom,93788,63705000,0.61
United States,3794101,317665979,0.83
Uruguay,67574,3286314,0.22
Uzbekistan,171469,29559100,0.98
Vanuatu,4707,264652,1.51
Vatican City,0.17,800,1.5
Venezuela,353841,28946101,1.19
Vietnam,127882,88780000,0
Western Sahara,97344,567000,3.46
Yemen,175676,24527000,2.92
Zambia,290585,13092666,2.82
Zimbabwe,150872,12973808,0.02
